reviewText,reviewDate,authorName
"Giving After using it 1week .. 
Positive :- Sound quality , Build quality rmro xa ..
Negative :- Battry backup 1hrs 30 mint only on calls , for music video 2hrs 30mint.
    So afno use ko anusar bujhera linu hola ...",16 Jan 2025,Sanjay L.Verified Purchase
"product average nai xa , dherai ramro pani xaina ra dekhai na ramro pani xaina . maile chai 3 star dinxu . budget ko lai thikai ho. weight bhaney na ko bara bar xa .  package ni thikai thiyo . yedi koi lai kinna man xa bhaney , mai chai aali paisa thapera ramro kinnw suggest garxu . battery life chai ali kam lagyo . halka regret lageko xw bhanum na 😅.",30 Dec 2024,Kitsune D.Verified Purchase
"it got delivered but I got different charger,the charger doesn't even fit in the buds, any help or something?",3 days ago,skprajisunitaVerified Purchase
Good for the PRICE. I would say to expect as little as you can . Still the product is fine and working normally (for the price),4 weeks ago,Sarada D.Verified Purchase
"Good quality, very fast delivery, your staff, delivery person is so humble and cooperative. Thanks Draz.",20 Jan 2025,TIME I.Verified Purchase
Yeti ko price ma na sochkina kinda hunxa haii . It's really very good both sound quality and its design.love it ❤️,18 Jan 2025,Hema A.Verified Purchase
"it good build quality in black is good for this price.
 battery backup is good.
sound quality is moderate thats all.",15 Jan 2025,Third-Party-UserVerified Purchase
worst experience!!! earpod was okay but there was scratches like it was a used item. left side airpod charge doesn't lasts longer than 5 mins...and makes weird noises . At least we should be able to return or exchange but seller doesn't even reply. Tape wrapping around airpods just to hide scratches . ...don't buy this!!! ❌,07 Jan 2025,T***rVerified Purchase
"the  seller doesn't have that business sense , the product wasn't seal packed , and looked like already used and then sending to the customer,",06 Jan 2025,A***.Verified Purchase
"I am amazed by how good the product is in this price range. I checked the reviews stating how good it is but i was hesitating to buy but bought it anyway and i don’t regret buying it. It has good sound and bass quality in this cheap price and also the delivery was super fast. So, you can.l consider buying it.",24 Dec 2024,Sara H.Verified Purchase
Product came  in good condition but the charger is quite short and a small part came off right after opening,17 Dec 2024,G***hVerified Purchase
good ramrai xa under 500 ma Tara charge chai photo khicda iPhone ko dherai tikxa baru yesko Vanda average 1:30 min ho ekfera full Garda 😂,29 Dec 2024,Anup A.Verified Purchase
price wise it's okay it's little bit light weight and only comes with airpod and charging cable no extra ear rubber,23 Dec 2024,N***.Verified Purchase
for this price the sound quality of the product is more than what I've expected. I hope it would last long.,28 Nov 2024,kiranVerified Purchase
it was the best earbuds indeed will purchase  and again best wuality in affordable range💗,28 Nov 2024,9***2Verified Purchase
ekdam ramro xa malai ta ekdam Mann paryo ani packing pani ramro cute wala box ma ♥️♥️♥️♥️,19 Dec 2024,Nëê R.Verified Purchase
Reviewing after using it for 14 days.Quality is good.I personally recommend you to buy.,08 Dec 2024,V***.Verified Purchase
"Very nice product same as it was in photo 
Packaging. very good product, sound good 👍",20 Jan 2025,r***.Verified Purchase
"Unbelievable 🔥 , The sound quality you get in this price . Amazing ❤️",11 Jan 2025,Unique R.Verified Purchase
"ekchoti bhuma xario ta earbuds ko tar xutio
Tara sounds poisa vasol",11 Jan 2025,9***5Verified Purchase
product herna ramro xa but earpod ko charge dherai tikdaina,07 Dec 2024,S***.Verified Purchase
price anusar ramro xa quality pani ramro sound Pani ramro,28 Jan 2025,Samridhi S.Verified Purchase
socheko jastai Paya 🙂 yo rate ma yettiko Saman too good,18 Jan 2025,9***1Verified Purchase
babal ramro n sasto raixa 1500 vanda ni ramro raixa,12 Nov 2024,9***2Verified Purchase
"It is absolutely worth buying, thankyou seller 🤍",03 Dec 2024,s***aVerified Purchase
all good . Tara battery chai 1 hours ni tikdena,29 Dec 2024,anupbudhathoki16Verified Purchase
ekdam ramro chha dhukka bhauera kinda hunchha,07 Jan 2025,Sagar B.Verified Purchase
Price heri chai best xa hai guys ⭐️⭐️⭐️⭐️⭐️,20 Nov 2024,Samir L.Verified Purchase
"euta Matra sunxa arko sundeina 
scam ho yo",05 Jan 2025,RoshanVerified Purchase
Nice product and very good sound quality,22 Nov 2024,Nabin P.Verified Purchase
ramro xa Tara xitai charge sakini haixa,22 Nov 2024,S***.Verified Purchase
"very good,
sound and bass is supap👌👌",24 Nov 2024,9***7Verified Purchase
Great sounds quality in cheapest price,13 Nov 2024,9***0Verified Purchase
Product ramro xa worth for the price,4 weeks ago,Prashna M.Verified Purchase
value for money/ extremely  satisfied,18 Dec 2024,9***9Verified Purchase
According to price product looks ok,08 Jan 2025,PRATIMAVerified Purchase
Too bad . Didn’t even last a week.,23 Jan 2025,9***6Verified Purchase
one side is working other not work,14 Jan 2025,9***4Verified Purchase
nice products in suitable price,3 weeks ago,9***8Verified Purchase
so satisfied with this products,09 Jan 2025,Anisha B.Verified Purchase
good product on a low rate ♥️😍,19 Nov 2024,9***7Verified Purchase
bxhdhrjehfhegwhwhhshehehehdheh,01 Jan 2025,MeVerified Purchase
ekdam ramro xa 👀price anusar,29 Dec 2024,9***8Verified Purchase
यो रिर्टन किन भयो भन्न मिल्छ,30 Dec 2024,9***2Verified Purchase
very good quality for price,18 Nov 2024,S***.Verified Purchase
good product. would suggest,3 weeks ago,9***2Verified Purchase
"good product , satisfying",19 Jan 2025,Pramod K.Verified Purchase
babal charge babal kitxa,2 weeks ago,9***0Verified Purchase
sacheko bhanda ramro xa,2 weeks ago,AcnVerified Purchase
sasto ma dherai ramro x,27 Dec 2024,devnarayan C.Verified Purchase
bass is bad ass good 👍,14 Jan 2025,Bikash G.Verified Purchase
Best sound and quality,09 Dec 2024,9***4Verified Purchase
good 👍👍👍👍 super 👌,22 Jan 2025,9***0Verified Purchase
thikxa price anusar,15 Jan 2025,Bimal C.Verified Purchase
Good sound quality,20 Dec 2024,Sushmita M.Verified Purchase
didn't work one,3 weeks ago,B***.Verified Purchase
ver goOd product,11 Jan 2025,rupentamang007Verified Purchase
product is good .,31 Dec 2024,Sagar B.Verified Purchase
awesome 😍😍😍,08 Jan 2025,Peri G.Verified Purchase
It is very 👍,11 Jan 2025,s***nVerified Purchase
nice product,24 Dec 2024,9***0Verified Purchase
Babal xha hai,02 Jan 2025,ニラジャン カ.Verified Purchase
Nice product,10 Dec 2024,dhakaln896Verified Purchase
bbl xw hai,05 Dec 2024,Third-Party-UserVerified Purchase
Good.,3 weeks ago,PriyaVerified Purchase
Nice 🙂👍,21 Jan 2025,shovat199Verified Purchase
Nice,17 Jan 2025,9***6Verified Purchase
good,30 Dec 2024,josnatmg09Verified Purchase
nice 🙂,22 Dec 2024,9***0Verified Purchase
ठिकै छ।,19 Dec 2024,9***5Verified Purchase
good,08 Jan 2025,ashifalieesVerified Purchase
working,03 Jan 2025,dx M.Verified Purchase
nice,29 Dec 2024,Rijan N.Verified Purchase
mast,24 Nov 2024,Nayan K.Verified Purchase
no,05 Dec 2024,m***.Verified Purchase
good,16 Nov 2024,9***2Verified Purchase
Right Sensor is not working at all 😭😭,14 Dec 2024,9***4Verified Purchase
saller is cheater they didn't send charger cable. I suggest everyone don't buy any product from them.,14 Jan 2025,9***8Verified Purchase
Sent damaged one and when I asked them to exchange they are not replying now. Worst customer service as well as product.,27 Dec 2024,A***.Verified Purchase
"namajjaale jhukkayo , yasto saaman pani sales garne ho , 1min mai tattinchh ,discontented bhairahanchh . please return gardinu , saller ko bill pani chhain",08 Dec 2024,9***3Verified Purchase
packing ramro vayena aauta matra sound aauxa ani range ni goji bata kam samma chaidaina 🙁,13 Dec 2024,Aashish S.Verified Purchase
Charging problem earbuds charging cage not charging,11 Dec 2024,b***5Verified Purchase
I didn't even receive it but it says it got delivered,10 Dec 2024,j***6Verified Purchase
"euta matra chalxa arko chaldaina
waste of money",05 Dec 2024,9***6Verified Purchase
thikai xa sound Ra bass Pani price Herrera,05 Dec 2024,9***0Verified Purchase
"Bakwas , 1 din ni ramro sang chalena ,",09 Jan 2025,AnilVerified Purchase
charge problem raixa aru bbl xa,01 Dec 2024,N***.Verified Purchase
one of the pods didn't work.,27 Dec 2024,Aadesh B.Verified Purchase
not good my momey is loss,11 Jan 2025,raidikhohaVerified Purchase
Yeuta side matra chalxa,10 Jan 2025,asish S.Verified Purchase
