reviewText,reviewDate,authorName,translated_review
The airpod is great and the delivery was so quick yesterday i ordered it and Tommorow it arrived,23 Dec 2024,dibyanshumajhi341Verified Purchase,The airpod is great and the delivery was so quick yesterday i ordered it and Tommorow it arrived
This AirPods battery backup giving me 3/4 hour sound quality is best and bass.delivery was great,20 Dec 2024,Bibek D.Verified Purchase,This AirPods battery backup giving me 3/4 hour sound quality is best and bass.delivery was great
price rance ekdam daami sound quality xa 🤝sab thik xa but side ma latkaune deko xain photo jasto,09 Dec 2024,Bhuwan C.Verified Purchase,price rance ekdam daami sound quality xa 🤝sab thik xa but side ma latkaune deko xain photo jasto
purai scratch nai scratch cha second hand chalako jasto...exchange gardinu milcha vne gardinu,06 Jan 2025,mamatalama1986Verified Purchase,purai scratch nai scratch cha second hand chalako jasto...exchange gardinu milcha vne gardinu
"it is good, Worthing according to price, sound quality is also good, 2/3 hour majale chalxa.",09 Jan 2025,P***.Verified Purchase,"it is good, Worthing according to price, sound quality is also good, 2/3 hour majale chalxa."
Yeo price ma theki ho but aailk sound aareki xa tara kei xaina kam chalxa ramerii lagyo,20 Dec 2024,Abishek G.Verified Purchase,Yeo price ma theki ho but aailk sound aareki xa tara kei xaina kam chalxa ramerii lagyo
sound  n bass is good according to price but let's see about battery backup.,1 week ago,AmritVerified Purchase,sound  n bass is good according to price but let's see about battery backup.
"This Airpods are good quality i like this airpod
And best airbuds",19 Nov 2024,E***.Verified Purchase,"This Airpods are good quality i like this airpod
And best airbuds"
"Very Very so much product 
Delivery Dai ko lagi 5 Star ⭐⭐⭐⭐⭐",15 Jan 2025,ajaymandal2063Verified Purchase,"Very Very so much product 
Delivery Dai ko lagi 5 Star ⭐⭐⭐⭐⭐"
black magako white po dinxa ta black ko box ma halera👎🏻,21 Nov 2024,S***.Verified Purchase,Black Magaki White night dinmaa Ta Black and Box Ma Halera👎🏻
Looks good and the delivery is on time thank you Daraz,13 Jan 2025,Sachin Y.Verified Purchase,Looks good and the delivery is on time thank you Daraz
khasai ramro chai hoina sound pani ramro xaina😣😣,17 Dec 2024,9***1Verified Purchase,😭 00 days later 😭😭😭😭😭
comfy to wear and actually comes in full charge,06 Jan 2025,Third-Party-UserVerified Purchase,comfy to wear and actually comes in full charge
all good price ma ramro saman ho . i like it ❤️,20 Jan 2025,BhumikaVerified Purchase,all good price ma ramro saman ho . i like it ❤️
it's too much good just love it 😲😲,24 Jan 2025,Priyaka K.Verified Purchase,it's too much good just love it 😲😲
Tws not too bad as compared to price,04 Jan 2025,Bimal A.Verified Purchase,Tws not too bad as compared to price
One side airpods not working,13 Jan 2025,brothertamang533Verified Purchase,One side airpods not working
right side bajdaina!!!,19 Dec 2024,dark S.Verified Purchase,right side bajdaina!!!
GOOD RAMRO PRODUCT XA,10 Jan 2025,Saksham K.Verified Purchase,GOOD RAMROUD XA
it's good,2 weeks ago,David T.Verified Purchase,it's good
"Giving After using it 1week .. 
Positive :- Sound quality , Build quality rmro xa ..
Negative :- Battry backup 1hrs 30 mint only on calls , for music video 2hrs 30mint.
    So afno use ko anusar bujhera linu hola ...",16 Jan 2025,Sanjay L.Verified Purchase,"Giving After using it 1week .. 
Positive :- Sound quality , Build quality rmro xa ..
Negative :- Battry backup 1hrs 30 mint only on calls , for music video 2hrs 30mint.
    So afno use ko anusar bujhera linu hola ..."
"product average nai xa , dherai ramro pani xaina ra dekhai na ramro pani xaina . maile chai 3 star dinxu . budget ko lai thikai ho. weight bhaney na ko bara bar xa .  package ni thikai thiyo . yedi koi lai kinna man xa bhaney , mai chai aali paisa thapera ramro kinnw suggest garxu . battery life chai ali kam lagyo . halka regret lageko xw bhanum na 😅.",30 Dec 2024,Kitsune D.Verified Purchase,"The value of provision is ready, don't worry about how much genuine . 3 months to keep 3 days . faced the summed. we don't need to be tailed .  Goligger's cock is right Let us not beered, but you can't sell it. There haka lampt is not the only offers 😊"
"it got delivered but I got different charger,the charger doesn't even fit in the buds, any help or something?",3 days ago,skprajisunitaVerified Purchase,"it got delivered but I got different charger,the charger doesn't even fit in the buds, any help or something?"
Good for the PRICE. I would say to expect as little as you can . Still the product is fine and working normally (for the price),4 weeks ago,Sarada D.Verified Purchase,Good for the PRICE. I would say to expect as little as you can . Still the product is fine and working normally (for the price)
"Good quality, very fast delivery, your staff, delivery person is so humble and cooperative. Thanks Draz.",20 Jan 2025,TIME I.Verified Purchase,"Good quality, very fast delivery, your staff, delivery person is so humble and cooperative. Thanks Draz."
Yeti ko price ma na sochkina kinda hunxa haii . It's really very good both sound quality and its design.love it ❤️,18 Jan 2025,Hema A.Verified Purchase,Yeti ko price ma na sochkina kinda hunxa haii . It's really very good both sound quality and its design.love it ❤️
"it good build quality in black is good for this price.
 battery backup is good.
sound quality is moderate thats all.",15 Jan 2025,Third-Party-UserVerified Purchase,"it good build quality in black is good for this price.
 battery backup is good.
sound quality is moderate thats all."
worst experience!!! earpod was okay but there was scratches like it was a used item. left side airpod charge doesn't lasts longer than 5 mins...and makes weird noises . At least we should be able to return or exchange but seller doesn't even reply. Tape wrapping around airpods just to hide scratches . ...don't buy this!!! ❌,07 Jan 2025,T***rVerified Purchase,worst experience!!! earpod was okay but there was scratches like it was a used item. left side airpod charge doesn't lasts longer than 5 mins...and makes weird noises . At least we should be able to return or exchange but seller doesn't even reply. Tape wrapping around airpods just to hide scratches . ...don't buy this!!! ❌
"the  seller doesn't have that business sense , the product wasn't seal packed , and looked like already used and then sending to the customer,",06 Jan 2025,A***.Verified Purchase,"the  seller doesn't have that business sense , the product wasn't seal packed , and looked like already used and then sending to the customer,"
"I am amazed by how good the product is in this price range. I checked the reviews stating how good it is but i was hesitating to buy but bought it anyway and i don’t regret buying it. It has good sound and bass quality in this cheap price and also the delivery was super fast. So, you can.l consider buying it.",24 Dec 2024,Sara H.Verified Purchase,"I am amazed by how good the product is in this price range. I checked the reviews stating how good it is but i was hesitating to buy but bought it anyway and i don’t regret buying it. It has good sound and bass quality in this cheap price and also the delivery was super fast. So, you can.l consider buying it."
Product came  in good condition but the charger is quite short and a small part came off right after opening,17 Dec 2024,G***hVerified Purchase,Product came  in good condition but the charger is quite short and a small part came off right after opening
good ramrai xa under 500 ma Tara charge chai photo khicda iPhone ko dherai tikxa baru yesko Vanda average 1:30 min ho ekfera full Garda 😂,29 Dec 2024,Anup A.Verified Purchase,good ramrai xa under 500 ma Tara charge chai photo khicda iPhone ko dherai tikxa baru yesko Vanda average 1:30 min ho ekfera full Garda 😂
price wise it's okay it's little bit light weight and only comes with airpod and charging cable no extra ear rubber,23 Dec 2024,N***.Verified Purchase,price wise it's okay it's little bit light weight and only comes with airpod and charging cable no extra ear rubber
for this price the sound quality of the product is more than what I've expected. I hope it would last long.,28 Nov 2024,kiranVerified Purchase,for this price the sound quality of the product is more than what I've expected. I hope it would last long.
it was the best earbuds indeed will purchase  and again best wuality in affordable range💗,28 Nov 2024,9***2Verified Purchase,it was the best earbuds indeed will purchase  and again best wuality in affordable range💗
ekdam ramro xa malai ta ekdam Mann paryo ani packing pani ramro cute wala box ma ♥️♥️♥️♥️,19 Dec 2024,Nëê R.Verified Purchase,Ekdam Ramro XA Malai Ta Ekdam Mann Paryo Ani Packing Pani Ramro Cute Wala Box Ma ♥ ️ ♥ ♥ ♥ ️ ️
Reviewing after using it for 14 days.Quality is good.I personally recommend you to buy.,08 Dec 2024,V***.Verified Purchase,Reviewing after using it for 14 days.Quality is good.I personally recommend you to buy.
"Very nice product same as it was in photo 
Packaging. very good product, sound good 👍",20 Jan 2025,r***.Verified Purchase,"Very nice product same as it was in photo 
Packaging. very good product, sound good 👍"
"Unbelievable 🔥 , The sound quality you get in this price . Amazing ❤️",11 Jan 2025,Unique R.Verified Purchase,"Unbelievable 🔥 , The sound quality you get in this price . Amazing ❤️"
"ekchoti bhuma xario ta earbuds ko tar xutio
Tara sounds poisa vasol",11 Jan 2025,9***5Verified Purchase,"ekchoti bhuma xario ta earbuds ko tar xutio
Tara sounds poisa vasol"
product herna ramro xa but earpod ko charge dherai tikdaina,07 Dec 2024,S***.Verified Purchase,product herna ramro xa but earpod ko charge dherai tikdaina
price anusar ramro xa quality pani ramro sound Pani ramro,28 Jan 2025,Samridhi S.Verified Purchase,price I'm the quality of the sound.
socheko jastai Paya 🙂 yo rate ma yettiko Saman too good,18 Jan 2025,9***1Verified Purchase,Socheko Jastai Paya 🙂 yo rate ma yettiko saman too good
babal ramro n sasto raixa 1500 vanda ni ramro raixa,12 Nov 2024,9***2Verified Purchase,babal ramro n sasto raixa 1500 vanda ni ramro raixa
"It is absolutely worth buying, thankyou seller 🤍",03 Dec 2024,s***aVerified Purchase,"It is absolutely worth buying, thankyou seller 🤍"
all good . Tara battery chai 1 hours ni tikdena,29 Dec 2024,anupbudhathoki16Verified Purchase,all good . Tara battery chai 1 hours ni tikdena
ekdam ramro chha dhukka bhauera kinda hunchha,07 Jan 2025,Sagar B.Verified Purchase,ekdam ramro chha dhukka bhauera kinda huntchha
Price heri chai best xa hai guys ⭐️⭐️⭐️⭐️⭐️,20 Nov 2024,Samir L.Verified Purchase,Price heri chai best xa hai guys ⭐️⭐️⭐️⭐️⭐️
"euta Matra sunxa arko sundeina 
scam ho yo",05 Jan 2025,RoshanVerified Purchase,"euta matra sunxa arko sundeina 
scam ho yo"
Nice product and very good sound quality,22 Nov 2024,Nabin P.Verified Purchase,Nice product and very good sound quality
ramro xa Tara xitai charge sakini haixa,22 Nov 2024,S***.Verified Purchase,Ramro Xa Tara Xitai Charge Sakini Haixa
"very good,
sound and bass is supap👌👌",24 Nov 2024,9***7Verified Purchase,"very good,
sound and bass is supap👌👌"
Great sounds quality in cheapest price,13 Nov 2024,9***0Verified Purchase,Great sounds quality in cheapest price
Product ramro xa worth for the price,4 weeks ago,Prashna M.Verified Purchase,Product ramro xa worth for the price
value for money/ extremely  satisfied,18 Dec 2024,9***9Verified Purchase,value for money/ extremely  satisfied
According to price product looks ok,08 Jan 2025,PRATIMAVerified Purchase,According to price product looks ok
Too bad . Didn’t even last a week.,23 Jan 2025,9***6Verified Purchase,Too bad . Didn’t even last a week.
one side is working other not work,14 Jan 2025,9***4Verified Purchase,one side is working other not work
nice products in suitable price,3 weeks ago,9***8Verified Purchase,nice products in suitable price
so satisfied with this products,09 Jan 2025,Anisha B.Verified Purchase,so satisfied with this products
good product on a low rate ♥️😍,19 Nov 2024,9***7Verified Purchase,good product on a low rate ♥️😍
bxhdhrjehfhegwhwhhshehehehdheh,01 Jan 2025,MeVerified Purchase,BXHHMRJEHFHHHHHHHHHHTHHHEHEH
ekdam ramro xa 👀price anusar,29 Dec 2024,9***8Verified Purchase,ekdam ramro xa 👀price anusar
यो रिर्टन किन भयो भन्न मिल्छ,30 Dec 2024,9***2Verified Purchase,It is rewritten to say why
very good quality for price,18 Nov 2024,S***.Verified Purchase,very good quality for price
good product. would suggest,3 weeks ago,9***2Verified Purchase,good product. would suggest
"good product , satisfying",19 Jan 2025,Pramod K.Verified Purchase,"good product , satisfying"
babal charge babal kitxa,2 weeks ago,9***0Verified Purchase,The expansion charge is the burden
sacheko bhanda ramro xa,2 weeks ago,AcnVerified Purchase,Sacheko Bhanda Ramro XA
sasto ma dherai ramro x,27 Dec 2024,devnarayan C.Verified Purchase,Sasto ma dherai ramro x
bass is bad ass good 👍,14 Jan 2025,Bikash G.Verified Purchase,bass is bad ass good 👍
Best sound and quality,09 Dec 2024,9***4Verified Purchase,Best sound and quality
good 👍👍👍👍 super 👌,22 Jan 2025,9***0Verified Purchase,good 👍👍👍👍 super 👌
thikxa price anusar,15 Jan 2025,Bimal C.Verified Purchase,thikxa price anusar
Good sound quality,20 Dec 2024,Sushmita M.Verified Purchase,Good sound quality
didn't work one,3 weeks ago,B***.Verified Purchase,didn't work one
ver goOd product,11 Jan 2025,rupentamang007Verified Purchase,ver goOd product
product is good .,31 Dec 2024,Sagar B.Verified Purchase,product is good .
awesome 😍😍😍,08 Jan 2025,Peri G.Verified Purchase,awesome 😍😍😍
It is very 👍,11 Jan 2025,s***nVerified Purchase,It is very 👍
nice product,24 Dec 2024,9***0Verified Purchase,nice product
Babal xha hai,02 Jan 2025,ニラジャン カ.Verified Purchase,Babal Xha Hai
Nice product,10 Dec 2024,dhakaln896Verified Purchase,Nice product
bbl xw hai,05 Dec 2024,Third-Party-UserVerified Purchase,bbl xw hai
Good.,3 weeks ago,PriyaVerified Purchase,Good.
Nice 🙂👍,21 Jan 2025,shovat199Verified Purchase,Nice 🙂👍
Nice,17 Jan 2025,9***6Verified Purchase,Nice
good,30 Dec 2024,josnatmg09Verified Purchase,good
nice 🙂,22 Dec 2024,9***0Verified Purchase,nice 🙂
ठिकै छ।,19 Dec 2024,9***5Verified Purchase,It's okay.
good,08 Jan 2025,ashifalieesVerified Purchase,good
working,03 Jan 2025,dx M.Verified Purchase,working
nice,29 Dec 2024,Rijan N.Verified Purchase,nice
mast,24 Nov 2024,Nayan K.Verified Purchase,mast
no,05 Dec 2024,m***.Verified Purchase,no
good,16 Nov 2024,9***2Verified Purchase,good
Right Sensor is not working at all 😭😭,14 Dec 2024,9***4Verified Purchase,Right Sensor is not working at all 😭😭
saller is cheater they didn't send charger cable. I suggest everyone don't buy any product from them.,14 Jan 2025,9***8Verified Purchase,saller is cheater they didn't send charger cable. I suggest everyone don't buy any product from them.
Sent damaged one and when I asked them to exchange they are not replying now. Worst customer service as well as product.,27 Dec 2024,A***.Verified Purchase,Sent damaged one and when I asked them to exchange they are not replying now. Worst customer service as well as product.
"namajjaale jhukkayo , yasto saaman pani sales garne ho , 1min mai tattinchh ,discontented bhairahanchh . please return gardinu , saller ko bill pani chhain",08 Dec 2024,9***3Verified Purchase,"Namajjaale jhukkayo, yasto saaman pani sales garne ho, 1min mai tattinchh, discontented bhairahanchh. Please return gardinu, Saller Ko Bill Pani Chhain"
packing ramro vayena aauta matra sound aauxa ani range ni goji bata kam samma chaidaina 🙁,13 Dec 2024,Aashish S.Verified Purchase,Packing Ramro Vayena AAuta Matra Sound Aauxa Ani Range Ni Goji Bata Kam Samma Chaidaina
Charging problem earbuds charging cage not charging,11 Dec 2024,b***5Verified Purchase,Charging problem earbuds charging cage not charging
I didn't even receive it but it says it got delivered,10 Dec 2024,j***6Verified Purchase,I didn't even receive it but it says it got delivered
"euta matra chalxa arko chaldaina
waste of money",05 Dec 2024,9***6Verified Purchase,"euta matra chalxa arko chaldaina
waste of money"
thikai xa sound Ra bass Pani price Herrera,05 Dec 2024,9***0Verified Purchase,thikai xa sound Ra bass Pani price Herrera
"Bakwas , 1 din ni ramro sang chalena ,",09 Jan 2025,AnilVerified Purchase,"Bakwas, 1 din ni ramro sang chalena,"
charge problem raixa aru bbl xa,01 Dec 2024,N***.Verified Purchase,Charge Problem Raixa Aru BBL xaa
one of the pods didn't work.,27 Dec 2024,Aadesh B.Verified Purchase,one of the pods didn't work.
not good my momey is loss,11 Jan 2025,raidikhohaVerified Purchase,not good my momey is loss
Yeuta side matra chalxa,10 Jan 2025,asish S.Verified Purchase,Yeuta side matra chalxa
